yyxlbm,lcbm,yxrq,trip_key,起点站,终到站,方向,列车定员,总上客量,总下客量,峰值车上人数,平均上座率,最大断面满载率,最拥挤区间,备注,人公里(PKM),车公里(TKM),平均断面客流
89,465,20150102,1959,重庆北,成都东,forward,1378.0,694.0,694.0,694.0,0.5036284470246735,0.5036284470246735,1037->1689,,217222.0,313.0,694.0
39,155,20150103,1038,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,157,20150103,1207,成都东,重庆北,reverse,1418.0,1380.0,1380.0,1380.0,0.9732016925246827,0.9732016925246827,1695->1694,,431940.0,313.0,1380.0
39,154,20150103,1009,成都东,重庆北,reverse,1378.0,1351.0,1351.0,1351.0,0.9804063860667634,0.9804063860667634,1695->1694,,422863.0,313.0,1351.0
39,158,20150103,1230,成都东,重庆北,reverse,1418.0,1765.0,1765.0,1403.0,0.9703267437825854,0.9894217207334274,1689->1037,,430664.0,313.0,1375.9233226837061
39,150,20150103,0854,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,152,20150103,0912,成都东,重庆北,reverse,1418.0,1181.0,1181.0,1181.0,0.8328631875881524,0.8328631875881524,1695->1694,,369653.0,313.0,1181.0
39,162,20150103,1400,成都东,重庆北,reverse,1418.0,1696.0,1696.0,1402.0,0.9691754124289712,0.9887165021156559,1689->1037,,430153.0,313.0,1374.2907348242811
39,164,20150103,1445,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,160,20150103,1341,成都东,重庆北,reverse,1418.0,1466.0,1466.0,1403.0,0.9796072405448885,0.9894217207334274,1690->1689,,434783.0,313.0,1389.0830670926518
39,172,20150103,1857,成都东,重庆北,reverse,1418.0,1517.0,1517.0,1400.0,0.9676500673675293,0.9873060648801129,1689->1037,,429476.0,313.0,1372.1277955271566
39,168,20150103,1709,成都东,重庆北,reverse,1418.0,1558.0,1558.0,1398.0,0.9755539233136713,0.9858956276445698,1689->1037,,432984.0,313.0,1383.335463258786
39,170,20150103,1809,成都东,重庆北,reverse,1418.0,1501.0,1501.0,1400.0,0.9789583492927536,0.9873060648801129,1689->1037,,434495.0,313.0,1388.1629392971247
39,148,20150103,0749,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
