站点id,上客量,下客量,车上人数,yyxlbm,lcbm,yxrq,trip_key
1694,17.0,144.0,628.0,39,172,20150101,1857
810,0.0,0.0,628.0,39,172,20150101,1857
1690,0.0,0.0,628.0,39,172,20150101,1857
1689,119.0,23.0,724.0,39,172,20150101,1857
1037,0.0,724.0,0.0,39,172,20150101,1857
1695,618.0,0.0,618.0,39,175,20150101,2105
1694,0.0,0.0,618.0,39,175,20150101,2105
810,44.0,109.0,553.0,39,175,20150101,2105
1690,17.0,23.0,547.0,39,175,20150101,2105
1689,17.0,39.0,525.0,39,175,20150101,2105
1037,0.0,525.0,0.0,39,175,20150101,2105
1695,663.0,0.0,663.0,39,154,20150102,1009
1694,0.0,0.0,663.0,39,154,20150102,1009
810,0.0,0.0,663.0,39,154,20150102,1009
1690,0.0,0.0,663.0,39,154,20150102,1009
1689,0.0,0.0,663.0,39,154,20150102,1009
1037,0.0,663.0,0.0,39,154,20150102,1009
1695,764.0,0.0,764.0,39,158,20150102,1230
1694,0.0,0.0,764.0,39,158,20150102,1230
810,106.0,163.0,707.0,39,158,20150102,1230
1690,196.0,98.0,805.0,39,158,20150102,1230
1689,275.0,138.0,942.0,39,158,20150102,1230
1037,0.0,942.0,0.0,39,158,20150102,1230
1695,885.0,0.0,885.0,39,160,20150102,1341
1694,0.0,0.0,885.0,39,160,20150102,1341
810,0.0,0.0,885.0,39,160,20150102,1341
1690,108.0,28.0,965.0,39,160,20150102,1341
1689,123.0,31.0,1057.0,39,160,20150102,1341
1037,0.0,1057.0,0.0,39,160,20150102,1341
1695,488.0,0.0,488.0,39,152,20150102,0912
1694,0.0,0.0,488.0,39,152,20150102,0912
810,0.0,0.0,488.0,39,152,20150102,0912
1690,0.0,0.0,488.0,39,152,20150102,0912
1689,0.0,0.0,488.0,39,152,20150102,0912
1037,0.0,488.0,0.0,39,152,20150102,0912
1695,1221.0,0.0,1221.0,39,162,20150102,1400
1694,0.0,0.0,1221.0,39,162,20150102,1400
810,129.0,210.0,1140.0,39,162,20150102,1400
1690,150.0,48.0,1242.0,39,162,20150102,1400
1689,154.0,72.0,1324.0,39,162,20150102,1400
1037,0.0,1324.0,0.0,39,162,20150102,1400
1695,1008.0,0.0,1008.0,39,157,20150102,1207
1694,0.0,0.0,1008.0,39,157,20150102,1207
810,0.0,0.0,1008.0,39,157,20150102,1207
1690,0.0,0.0,1008.0,39,157,20150102,1207
1689,0.0,0.0,1008.0,39,157,20150102,1207
1037,0.0,1008.0,0.0,39,157,20150102,1207
1695,1348.0,0.0,1348.0,39,168,20150102,1709
1694,100.0,172.0,1276.0,39,168,20150102,1709
810,0.0,0.0,1276.0,39,168,20150102,1709
1690,0.0,0.0,1276.0,39,168,20150102,1709
1689,172.0,58.0,1390.0,39,168,20150102,1709
1037,0.0,1390.0,0.0,39,168,20150102,1709
1695,1223.0,0.0,1223.0,39,172,20150102,1857
1694,35.0,107.0,1151.0,39,172,20150102,1857
810,0.0,0.0,1151.0,39,172,20150102,1857
1690,0.0,0.0,1151.0,39,172,20150102,1857
1689,141.0,36.0,1256.0,39,172,20150102,1857
1037,0.0,1256.0,0.0,39,172,20150102,1857
1695,1213.0,0.0,1213.0,39,170,20150102,1809
1694,0.0,0.0,1213.0,39,170,20150102,1809
810,0.0,0.0,1213.0,39,170,20150102,1809
1690,0.0,0.0,1213.0,39,170,20150102,1809
1689,219.0,68.0,1364.0,39,170,20150102,1809
1037,0.0,1364.0,0.0,39,170,20150102,1809
1695,1350.0,0.0,1350.0,39,166,20150102,1555
1694,0.0,0.0,1350.0,39,166,20150102,1555
810,0.0,0.0,1350.0,39,166,20150102,1555
1690,0.0,0.0,1350.0,39,166,20150102,1555
1689,153.0,106.0,1397.0,39,166,20150102,1555
1037,0.0,1397.0,0.0,39,166,20150102,1555
1695,1123.0,0.0,1123.0,39,173,20150102,1938
1694,0.0,0.0,1123.0,39,173,20150102,1938
810,0.0,0.0,1123.0,39,173,20150102,1938
1690,185.0,90.0,1218.0,39,173,20150102,1938
1689,130.0,56.0,1292.0,39,173,20150102,1938
1037,0.0,1292.0,0.0,39,173,20150102,1938
1695,1300.0,0.0,1300.0,39,175,20150102,2105
1694,0.0,0.0,1300.0,39,175,20150102,2105
810,76.0,197.0,1179.0,39,175,20150102,2105
1690,25.0,9.0,1195.0,39,175,20150102,2105
1689,39.0,78.0,1156.0,39,175,20150102,2105
1037,0.0,1156.0,0.0,39,175,20150102,2105
1037,1172.0,0.0,1172.0,39,151,20150102,0910
1689,168.0,226.0,1114.0,39,151,20150102,0910
1690,101.0,142.0,1073.0,39,151,20150102,0910
810,0.0,0.0,1073.0,39,151,20150102,0910
1694,199.0,36.0,1236.0,39,151,20150102,0910
1695,0.0,1236.0,0.0,39,151,20150102,0910
1037,530.0,0.0,530.0,39,147,20150102,0740
1689,0.0,0.0,530.0,39,147,20150102,0740
1690,0.0,0.0,530.0,39,147,20150102,0740
810,353.0,123.0,760.0,39,147,20150102,0740
1694,0.0,0.0,760.0,39,147,20150102,0740
1695,0.0,760.0,0.0,39,147,20150102,0740
