zdid,lxid,ysfsbm,zdmc,station_code,station_telecode,station_shortname
站点id,,,站点名称,站点code,站点电报码,
267,1,1,额济纳    ,15848,EJC,额
268,1,1,京津所    ,16007,JTP,京
269,1,1,天津西    ,16010,TXP,津
270,1,1,杨柳青    ,16016,YQP,杨
271,1,1,静海      ,16031,JHP,静
272,1,1,唐官屯    ,16040,TUP,唐
273,1,1,青县      ,16046,QXP,青
274,1,1,沧州      ,16058,COP,沧
275,1,1,泊头      ,16088,BZP,泊
276,1,1,东光      ,16094,DGP,东
277,1,1,吴桥      ,16109,WUP,吴
278,1,1,德州      ,16115,DZP,德
279,1,1,平原      ,16148,PYK,平
280,1,1,禹城      ,16160,YCK,禹
281,1,1,晏城北    ,16171,YYK,晏
282,1,1,晏城      ,16172,YEK,晏
283,1,1,桥南      ,16283,QNK,桥
284,1,1,济南      ,16295,JNK,济
285,1,1,党家庄    ,16319,DJK,党
286,1,1,泰山      ,16352,TAK,泰
287,1,1,磁窑      ,16373,CYK,磁
288,1,1,兖州      ,16400,YZK,兖
289,1,1,邹城      ,16463,ZIK,邹
290,1,1,滕州      ,16487,TXK,滕
291,1,1,枣庄西    ,16505,ZFK,枣
292,1,1,灵璧      ,16607,GMH,灵
293,1,1,泗县      ,16611,GPH,泗
294,1,1,泗洪      ,16615,GQH,泗
295,1,1,洋河      ,16619,GTH,洋
296,1,1,泗阳      ,16623,MPH,泗
297,1,1,徐州      ,16628,XCH,徐
298,1,1,符离集    ,16664,FLH,符
299,1,1,宿州      ,16670,OXH,宿
300,1,1,固镇      ,16694,GEH,固
301,1,1,凤阳      ,16739,FUH,凤
302,1,1,明光      ,16751,MGH,明
303,1,1,滁州北    ,16775,CUH,滁
304,1,1,永宁镇    ,16799,YNH,永
305,1,1,林场      ,16802,LIH,林
306,1,1,南京南    ,16804,NKH,南
307,1,1,南京      ,16805,NJH,宁
308,1,1,浦口      ,16806,PKH,浦
309,1,1,亭子山    ,16807,EFH,亭
310,1,1,全椒      ,16810,INH,全
